"user_ID","post_ID","Comment","CommentNum","ComOnComNum"
"236-90-9702","33-2552444","LoL",1,NA
"314-56-5730","40-4363285","boring",1,NA
"700-14-3211","11-6693165","ha ha funny",1,NA
"657-01-5683","59-7708747","ha ha funny",1,NA
"889-28-8850","08-1053818","up up",1,NA
"697-06-9705","01-4345432","boring",1,NA
"235-78-6321","35-4229511","good",1,NA
"226-31-3986","23-7015685","up up",1,NA
"221-80-6260","68-0571678","up up",1,NA
"709-63-1539","38-9997250","Interesting",1,NA
"721-79-3001","12-9327272","LoL",1,NA
"621-65-3981","66-7976271","LoL",1,NA
"632-46-2963","46-5871950","LoL",1,NA
"889-28-8850","87-9316887","LoL",1,NA
"697-06-9705","27-9303903","lzs13",1,NA
"235-78-6321","41-8158922","lzs13",1,NA
"226-31-3986","16-6010972","ha ha funny",1,NA
"221-80-6260","58-5793301","lzs13",1,NA
"709-63-1539","97-9522410","boring",1,NA
"721-79-3001","17-0831752","Interesting",1,NA
"236-90-9702","45-6642762","Interesting",1,NA
"314-56-5730","32-3518540","LoL",1,NA
"700-14-3211","61-9731953","boring",1,NA
"657-01-5683","43-3962944","Interesting",1,NA
"889-28-8850","44-1770163","Interesting",1,NA
