"post_ID","title","Content","user_ID","page_ID"
"01-4345432","Santa Clara University","Actophilornis africanus","771-36-7505","79-3267892"
"08-1053818","Centre Universitaire de Tebessa","Papilio canadensis","771-36-7505","79-3267892"
"11-6693165","Concordia College, Moorhead","Tetracerus quadricornis","669-67-2865","40-4329271"
"12-9327272","Cecos Univeristy of Information Technology","Papio cynocephalus","155-02-6633","90-0035153"
"16-6010972","Adventist University of Central Africa","Hippotragus","701-85-0322","91-4399439"
"17-0831752","Universidad Privada San Pedro","Amblyrhynchus cristatus","538-65-7880","91-4399439"
"23-7015685","Newberry College","Dusicyon thous","889-28-8850","90-0035153"
"27-9303903","St. Francis Xavier University","Plegadis falcinellus","889-28-8850","91-4399439"
"32-3518540","Sikha 'O' Anushandhan University","Cereopsis novaehollandiae","238-75-7529","91-4399439"
"33-2552444","Assumption University of Thailand","Alectura lathami","669-67-2865","40-4329271"
"35-4229511","Pacific Oaks College","Oncorhynchus nerka","657-01-5683","90-0035153"
"38-9997250","Central University of Finance and Economics","Neotis denhami","701-85-0322","90-0035153"
"40-4363285","Texas A&M International University","Megaderma spasma","669-67-2865","40-4329271"
"41-8158922","University of Bahrain","unavailable","668-92-9213","91-4399439"
"43-3962944","California State University, Los Angeles","Centrocercus urophasianus","889-18-6919","99-6905221"
"44-1770163","Bellevue University","Cacatua tenuirostris","889-18-6919","99-6905221"
"45-6642762","Aga Khan University","Grus canadensis","210-35-2163","91-4399439"
"46-5871950","Wayo Women's University","Ploceus rubiginosus","709-63-1539","90-0035153"
"58-5793301","University of Hormozgan","Tapirus terrestris","155-02-6633","91-4399439"
"59-7708747","State University of New York College at Oneonta","Propithecus verreauxi","669-67-2865","40-4329271"
"61-9731953","Indiana University-Purdue University at Columbus","Sciurus vulgaris","697-06-9705","91-4399439"
"66-7976271","Messiah College","Alopex lagopus","267-22-3335","90-0035153"
"68-0571678","Mbarara University of Science and Technology","Chauna torquata","668-92-9213","90-0035153"
"87-9316887","Gdynia Maritime Academy","Carduelis uropygialis","657-01-5683","91-4399439"
"97-9522410","Avila College","Gyps bengalensis","267-22-3335","91-4399439"
